																																							
	Species	Common Name(s)	Superior	Michigan	Huron	Erie	Ontario	St. Marys River	Huron Erie Corridor	Niagara River	Aerial/Terrestrial	Benthic	Limnetic	Littoral	Tributaries/Wetlands	BOLD Entry	Other Genetic Info	COL Accepted Name	Catalogue of Life Link	Class	Family	Coarse Grouping	Fine Grouping	ID Level	ITIS Accepted Name	ITIS URL	Introduction Source	Natural History Link	Notes	Order	Origin	Phylum	Reference (for Laurentian Great Lakes Occurrence)	Reference (for locations discovered)					
	Chrosomuseos	northern redbelly dace/ northern redbelly minnow/ red bellied or redbelly dace	X	X	X	X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Chrosomus+eos&searchTax=Search+Taxonomy		Chrosomus eos: Cope	1861	www.catalogueoflife.org/col/details/species/id/430e41a5205efaa4081e217a9578ff64	Actinopterygii	Cyprinidae	not fished	minnow	Species	Chrosomus eos: Cope	1861	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=913993#null		http://www.ontariofishes.ca/fish_detail.php?FID=		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Chrosomuserythrogaster	southern redbelly dace		X		X									X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Chrosomus+erythrogaster&searchTax=Search+Taxonomy		Chrosomus erythrogaster: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/cb86bc1c64faf20e26eacb4882582e85	Actinopterygii	Cyprinidae	not fished	minnow	Species	Chrosomus erythrogaster: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=913994#null		http://explorer.natureserve.org/servlet/NatureServe?searchSciOrCommonName=Chrosomus+erythrogaster	Potential invader: Cudmore and Crossman	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Chrosomusneogaeus	finescale dace/ bronze minnow/ fine-scale minnow/ scaly minnow	X	X	X	X	X							X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Chrosomus+neogaeus&searchTax=Search+Taxonomy		Chrosomus neogaeus: (Cope	1867)	www.catalogueoflife.org/col/details/species/id/cb04e653475f0764784c39ff8d23f7dc	Actinopterygii	Cyprinidae	not fished	minnow	Species	Chrosomus neogaeus: (Cope	1867)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=913995#null		http://explorer.natureserve.org/servlet/NatureServe?searchSciOrCommonName=Chrosomus+neogaeus		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Erie: Roth et al. 2012			
	Clinostomus elongatus	redside dace	X	X	X	X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Clinostomus+elongatus&searchTax=Search+Taxonomy		Clinostomus elongatus: (Kirtland	1840)	www.catalogueoflife.org/col/details/species/id/8192ffa659979ba5acd9ee14f8b05bc5	Actinopterygii	Cyprinidae	not fished	minnow	Species	Clinostomus elongatus: (Kirtland	1840)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163373#null	Native to Lower Great Lakes but not Lake Superior.	http://www.ontariofishes.ca/fish_detail.php?FID=21		Cypriniformes	RangeExp	Chordata	Roth et al. 2012	Roth et al. 2012			
	Couesius plumbeus	lake chub/ bottlefish/ chub minnow/ creek chub/ lake northern chub/ moose lake minnow/ northern chub/ plumbeus minnow	X	X	X		X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Couesius+plumbeus&searchTax=Search+Taxonomy		Couesius plumbeus: (Agassiz	1850)	www.catalogueoflife.org/col/details/species/id/3b5a7f5e67b302a3fe49b0ad5f3a0e76	Actinopterygii	Cyprinidae	not fished	minnow	Species	Couesius plumbeus: (Agassiz	1850)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163535#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=513		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Ctenopharyngodon idella	grass carp/ gardd carp/ glass carp/ white  amur/ silver orfe		X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Ctenopharyngodon+idella&searchTax=Search+Taxonomy		Ctenopharyngodon idella: (Valenciennes	1844)	www.catalogueoflife.org/col/details/species/id/6330dd310d6ad6fd3e8324578eebbfcb	Actinopterygii	Cyprinidae	roughfish	minnow	Species	Ctenopharyngodon idella: (Valenciennes in Cuvier and Valenciennes	1844)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163537#null	Asia	[https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=514	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2947	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2948]		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000	
	Cyprinella analostana	satinfin shiner					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Cyprinella+analostana&searchTax=Search+Taxonomy		Cyprinella analostana: Girard	1859	www.catalogueoflife.org/col/details/species/id/2e8431bcea8efe4837b5757c39fdfdf4	Actinopterygii	Cyprinidae	not fished	minnow	Species	Cyprinella analostana: Girard	1859	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163766#null	Native to L. Huron	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=516&Potential=N&Type=0&HUCNumber=DGreatLakes		Cypriniformes	RangeExp	Chordata	Roth et al. 2012	Roth et al. 2012			
	Cyprinella lutrensis	red shiner		X											X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Cyprinella+lutrensis&searchTax=Search+Taxonomy		Cyprinella lutrensis: (Baird & Girard	1853)	www.catalogueoflife.org/col/details/species/id/75daf04e08bacec12217e3dc2141f7cf	Actinopterygii	Cyprinidae	not fished	minnow	Species	Cyprinella lutrensis: (Baird and Girard	1853)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163792#null	N.A. inland	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=518		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Cyprinella spiloptera	spotfin shiner		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Cyprinella+spiloptera&searchTax=Search+Taxonomy		Cyprinella spiloptera: (Cope	1867)	www.catalogueoflife.org/col/details/species/id/ba6dd90e77d1c81b568319ea1eec8840	Actinopterygii	Cyprinidae	not fished	minnow	Species	Cyprinella spiloptera: (Cope	1867)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163803#null		http://www.ontariofishes.ca/fish_detail.php?FID=24		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Cyprinella whipplei	steelcolor shiner		X											X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Cyprinella+whipplei&searchTax=Search+Taxonomy		Cyprinella whipplei: Girard	1856	www.catalogueoflife.org/col/details/species/id/e7a8334879f484d1324e2716939afb0d	Actinopterygii	Cyprinidae	not fished	minnow	Species	Cyprinella whipplei: Girard	1856	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163811#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=523	Potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Cyprinus carpio	common carp/ aischgrund carp/ amur (wild) carp/ asian carp/ blubber lips/ calico carp/ chinese carp/ edible carp/ European carp/ German carp/ grass carp/ great carp/ koi carp/ leather carp/ mirror carp/ mud sucker/ nishiki-koi/ scale carp/ wild carp/ wild common carp	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Cyprinus+carpio&searchTax=Search+Taxonomy		Cyprinus carpio: Linnaeus	1758	www.catalogueoflife.org/col/details/species/id/c6beac15d18bf1d88bab194fe597f1c7	Actinopterygii	Cyprinidae	roughfish	minnow	Species	Cyprinus carpio: Linnaeus	1758	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163344#null	Eurasia	http://www.ontariofishes.ca/fish_detail.php?FID=25		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Exoglossum laurae	tonguetied minnow/ eastern tonguetied minnow					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Exoglossum+laurae&searchTax=Search+Taxonomy		Exoglossum laurae: (Hubbs	1931)	www.catalogueoflife.org/col/details/species/id/c8a30d8705648e2d1c37528cb1b2814a	Actinopterygii	Cyprinidae	not fished	minnow	Species	Exoglossum laurae: (Hubbs	1931)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163357#null			potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Exoglossum maxillingua	cutlip(s) minnow					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Exoglossum+maxillingua&searchTax=Search+Taxonomy		Exoglossum maxillingua: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/4b6b179c26934393fa12cdd0abfa78d6	Actinopterygii	Cyprinidae	not fished	minnow	Species	Exoglossum maxillingua: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163356#null		http://www.ontariofishes.ca/fish_detail.php?FID=27		Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Hybognathus hankinsoni	brassy minnow	X	X	X	X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Hybognathus+hankinsoni&searchTax=Search+Taxonomy		Hybognathus hankinsoni: Hubbs	1929	www.catalogueoflife.org/col/details/species/id/50c4008069a7d4356c887003661c6137	Actinopterygii	Cyprinidae	not fished	minnow	Species	Hybognathus hankinsoni: Hubbs in Jordan	1929	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163363#null		http://www.ontariofishes.ca/fish_detail.php?FID=28		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Hybognathus regius	eastern silvery minnow					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Hybognathus+regius&searchTax=Search+Taxonomy		Hybognathus regius: Girard	1856	www.catalogueoflife.org/col/details/species/id/2d8832a392239abaa52b0ed253a752ef	Actinopterygii	Cyprinidae	not fished	minnow	Species	Hybognathus regius: Girard	1856	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163359#null		http://www.ontariofishes.ca/fish_detail.php?FID=29		Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Hybopsisamblops	bigeye chub				X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Hybopsis+amblops&searchTax=Search+Taxonomy		Hybopsis amblops: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/dc39097d4ac640d8656c733aa404840d	Actinopterygii	Cyprinidae	not fished	minnow	Species	Hybopsis amblops: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163476#null				Cypriniformes	Native	Chordata	Roth et al. 2012	Erie: Roth et al. 2012; Ontario: Crossman & Van Meter 1979			
	Luxilus chrysocephalus	striped shiner		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Luxilus+chrysocephalus&searchTax=Search+Taxonomy		Luxilus chrysocephalus: Rafinesque	1820	www.catalogueoflife.org/col/details/species/id/046eea307c12ce4af429a6baca8b8ed6	Actinopterygii	Cyprinidae	not fished	minnow	Species	Luxilus chrysocephalus: Rafinesque	1820	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163832#null		http://www.ontariofishes.ca/fish_detail.php?FID=30		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Luxilus cornutus	common shiner	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Luxilus+cornutus&searchTax=Search+Taxonomy		Luxilus cornutus: (Mitchill	1817)	www.catalogueoflife.org/col/details/species/id/25af1e585601cecf63e25645ae67fbfd	Actinopterygii	Cyprinidae	not fished	minnow	Species	Luxilus cornutus: (Mitchill	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163836#null		http://www.ontariofishes.ca/fish_detail.php?FID=31		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Lythrurus umbratilis	redfin shiner		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Lythrurus+umbratilis&searchTax=Search+Taxonomy		Lythrurus umbratilis: (Girard	1856)	www.catalogueoflife.org/col/details/species/id/dee34be828be92151e6276b8d68ae4a8	Actinopterygii	Cyprinidae	not fished	minnow	Species	Lythrurus umbratilis: (Girard	1856)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163861#null		http://www.ontariofishes.ca/fish_detail.php?FID=32		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Ontario: Roth et al. 2012			
	Macrhybopsis storeriana	silver chub				X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Macrhybopsis+storeriana&searchTax=Search+Taxonomy		Macrhybopsis storeriana: (Kirtland	1845)	www.catalogueoflife.org/col/details/species/id/4f0a2943dd6769549edb6aa0cff8db4e	Actinopterygii	Cyprinidae	not fished	minnow	Species	Macrhybopsis storeriana: (Kirtland	1845)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163870#null		http://www.ontariofishes.ca/fish_detail.php?FID=33		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Margariscus margarita	pearl dace/ Allegheny pearl dace/ nachtrieb dace/ northern dace or pearldace or minnow	X	X	X	X	X							X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Margariscus+margarita&searchTax=Search+Taxonomy		Margariscus margarita: (Cope	1867)	www.catalogueoflife.org/col/details/species/id/18bfc407890104b74762384b79db9250	Actinopterygii	Cyprinidae	not fished	minnow	Species	Margariscus margarita: (Cope	1867)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163873#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=513		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Nocomis biguttatus	hornyhead chub	X	X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Nocomis+biguttatus&searchTax=Search+Taxonomy		Nocomis biguttatus: (Kirtland	1840)	www.catalogueoflife.org/col/details/species/id/262bcc53f9438ac59ee8e58d46b58f3c	Actinopterygii	Cyprinidae	not fished	minnow	Species	Nocomis biguttatus: (Kirtland	1840)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163395#null		http://www.ontariofishes.ca/fish_detail.php?FID=35		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Nocomis micropogon	river chub		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Nocomis+micropogon&searchTax=Search+Taxonomy		Nocomis micropogon: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/6362fefe2fea2df73dd98846e0ddb314	Actinopterygii	Cyprinidae	not fished	minnow	Species	Nocomis micropogon: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163392#null		http://www.ontariofishes.ca/fish_detail.php?FID=36		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notemigonus crysoleucas	golden shiner/ golden shiner minnow	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notemigonus+crysoleucas&searchTax=Search+Taxonomy		Notemigonus crysoleucas: (Mitchill	1814)	www.catalogueoflife.org/col/details/species/id/0be51cbffed9360c6c1f1183e7a31b64	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notemigonus crysoleucas: (Mitchill	1814)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163368#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=579		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis anogenus	pugnose shiner		X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+anogenus&searchTax=Search+Taxonomy		Notropis anogenus: Forbes	1885	www.catalogueoflife.org/col/details/species/id/7625e7852ee482120fc5a3880946b736	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis anogenus: Forbes	1885	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163424#null		http://www.ontariofishes.ca/fish_detail.php?FID=38		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis atherinoides	emerald shiner/ common emerald shiner/ lake emerald shiner/ lake shiner	X	X	X	X	X		X				X	X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+atherinoides&searchTax=Search+Taxonomy		Notropis atherinoides: Rafinesque	1818	www.catalogueoflife.org/col/details/species/id/3851f5689ca3a0a6d4708716ec32e963	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis atherinoides: Rafinesque	1818	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163412#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=582		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis bifrenatus	bridle shiner					X							X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+bifrenatus&searchTax=Search+Taxonomy		Notropis bifrenatus: (Cope	1867)	www.catalogueoflife.org/col/details/species/id/b552c2ac9c185e2bbcd0f6359694e251	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis bifrenatus: (Cope	1867)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163402#null		http://www.ontariofishes.ca/fish_detail.php?FID=40		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis blennius	river shiner/ poor minnow		X									X	X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+blennius&searchTax=Search+Taxonomy		Notropis blennius: (Girard	1856)	www.catalogueoflife.org/col/details/species/id/e0d683dbb00b178758dd94257f98004e	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis blennius: (Girard	1856)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163429#null		http://www.ontariofishes.ca/fish_detail.php?FID=41	Potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Notropis buccatus	silverjaw minnow		X		X									X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+buccata&searchTax=Search+Taxonomy		Notropis buccatus: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/18c5f5a3f74e5e1e180526110dea8ba2	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis buccatus: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163478#null			Potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Notropis buchanani	ghost shiner			X	X			X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+buchanani&searchTax=Search+Taxonomy		Notropis buchanani: Meek	1896	www.catalogueoflife.org/col/details/species/id/a8a45e6be14c8fd3619995f8536bf1ab	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis buchanani: Meek	1896	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163414#null	N.A. inland	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=590		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Erie: Roth et al. 2012			
	Notropis chalybaeus	ironcolor shiner		X											X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+chalybaeus&searchTax=Search+Taxonomy		Notropis chalybaeus: (Cope	1867)	www.catalogueoflife.org/col/details/species/id/3ec68aac199ccf4accca48984819f1bb	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis chalybaeus: (Cope	1867)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163403#null			Potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012			
	Notropis dorsalis	bigmouth shiner	X	X	X	X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+dorsalis&searchTax=Search+Taxonomy		Notropis dorsalis: (Agassiz	1854)	www.catalogueoflife.org/col/details/species/id/f9fa51f0515f89345214ebfd3f2802cf	Actinopterygii	Cyprinidae	not fished	minnow	Species	Hybopsis dorsalis: Agassiz	1854	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=689231#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=593	Potential invader	Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Huron: Roseman et al. 2009; Michigan: Jude & Pappas 1992; Erie/Michigan/Superior: Roth et al. 2012			
	Notropis heterodon	blackchin shiner	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+heterodon&searchTax=Search+Taxonomy		Notropis heterodon: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/ff65b38e05b766c549841e062b8354ed	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis heterodon: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163445#null		http://www.ontariofishes.ca/fish_detail.php?FID=43		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis heterolepis	blacknose shiner	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+heterolepis&searchTax=Search+Taxonomy		Notropis heterolepis: Eigenmann & Eigenmann	1893	www.catalogueoflife.org/col/details/species/id/3d5ac0045b5b1a54b94f1523f4edd068	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis heterolepis: Eigenmann and Eigenmann	1893	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163446#null		http://www.ontariofishes.ca/fish_detail.php?FID=44		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis hudsonius	spottail shiner/ spawneater/ spottail minnow/ sucking carp	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+hudsonius&searchTax=Search+Taxonomy		Notropis hudsonius: (Clinton	1824)	www.catalogueoflife.org/col/details/species/id/366cd952220e6ea0723f2282c6f553e6	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis hudsonius: (Clinton	1824)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163404#null		http://www.ontariofishes.ca/fish_detail.php?FID=45		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis photogenis	silver shiner				X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+photogenis&searchTax=Search+Taxonomy		Notropis photogenis: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/a6bdf329cc4c8f4a6b76c82870623690	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis photogenis: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163461#null		http://www.ontariofishes.ca/fish_detail.php?FID=46		Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Notropis procne	swallowtail shiner					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+procne&searchTax=Search+Taxonomy		Notropis procne: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/95038e87c2c99835454e960a45692f06	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis procne: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163407#null				Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Notropis rubellus	rosyface shiner	X	X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+rubellus&searchTax=Search+Taxonomy		Notropis rubellus: (Agassiz	1850)	www.catalogueoflife.org/col/details/species/id/efcee69a38abcde11b8a9c92224fbdb0	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis rubellus: (Agassiz	1850)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163409#null		http://www.ontariofishes.ca/fish_detail.php?FID=47		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Superior: Roth et al. 2012			
	Notropis stramineus	sand shiner	X	X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+stramineus&searchTax=Search+Taxonomy		Notropis stramineus: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/225d4dedef51bc171e42c92f75f5cdcd	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis stramineus: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163419#null		http://www.ontariofishes.ca/fish_detail.php?FID=48		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Notropis volucellus	mimic shiner	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Notropis+volucellus&searchTax=Search+Taxonomy		Notropis volucellus: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/a377d205e0c8e61b6227e2116086235a	Actinopterygii	Cyprinidae	not fished	minnow	Species	Notropis volucellus: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163421#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=614		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
