																																							
	Species	Common Name(s)	Superior	Michigan	Huron	Erie	Ontario	St. Marys River	Huron Erie Corridor	Niagara River	Aerial/Terrestrial	Benthic	Limnetic	Littoral	Tributaries/Wetlands	BOLD Entry	Other Genetic Info	COL Accepted Name	Catalogue of Life Link	Class	Family	Coarse Grouping	Fine Grouping	ID Level	ITIS Accepted Name	ITIS URL	Introduction Source	Natural History Link	Notes	Order	Origin	Phylum	Reference (for Laurentian Great Lakes Occurrence)	Reference (for locations discovered)					
	Carpiodes cyprinus	quillback/ quillback carpsucker		X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Carpiodes+cyprinus&searchTax=Search+Taxonomy		Carpiodes cyprinus: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/9c87ab756c50326a683a0ce30cd8b999	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Carpiodes cyprinus: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163917#null		https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=342		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Catostomus catostomus	black sucker/ finescale sucker/ jasper longnose sucker/ longnose or long-nosed sucker/ northern sucker/ red or red-sided sucker/ siberian sucker/ sturgeon sucker	X	X	X	X	X		X			X		X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Catostomus+catostomus&searchTax=Search+Taxonomy		Catostomus catostomus: (Forster	1773)	www.catalogueoflife.org/col/details/species/id/113a0189ae5820370171a199874109ac	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Catostomus catostomus: (Forster	1773)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163894#null		http://www.ontariofishes.ca/fish_detail.php?FID=60		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Catostomus commersonii	white sucker/ black mullet/ black sucker/ brook sucker/ buffalofish/ carp/ coarse scaled sucker/ common (white) sucker/ eastern sucker/ fine scaled sucker/ grey sucker/ june sucker/ mud sucker/ mullet	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Catostomus+commersonii&searchTax=Search+Taxonomy		Catostomus commersonii: (Lacep�de	1803)	www.catalogueoflife.org/col/details/species/id/f8108e68e8cb8faa1d51f4561e994085	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Catostomus commersonii: (Lacep�de	1803)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=553273#null		http://www.ontariofishes.ca/fish_detail.php?FID=61		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Erimyzon oblongus	creek chubsucker/ eastern creek chubsucker		X		X	X					X		X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Erimyzon+oblongus&searchTax=Search+Taxonomy		Erimyzon oblongus: (Mitchill	1814)	www.catalogueoflife.org/col/details/species/id/20031d107e11690eda4c8ba6b2feb9b0	Actinopterygii	Catostomidae�	not fished	sucker	Species	Erimyzon oblongus: (Mitchill	1814)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163924#null		http://explorer.natureserve.org/servlet/NatureServe?searchSciOrCommonName=Erimyzon+oblongus		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Erimyzon sucetta	lake chubsucker		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Erimyzon+sucetta&searchTax=Search+Taxonomy		Erimyzon sucetta: (Lacep�de	1803)	www.catalogueoflife.org/col/details/species/id/04de9544646fc7bb477e832dddae3760	Actinopterygii	Catostomidae�	not fished	sucker	Species	Erimyzon sucetta: (Lacep�de	1803)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163922#null		http://www.ontariofishes.ca/fish_detail.php?FID=62		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Hypentelium nigricans	northern hog sucker		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Hypentelium+nigricans&searchTax=Search+Taxonomy		Hypentelium nigricans: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/19c86a2c41faeb19b4c7909353bdfa74	Actinopterygii	Catostomidae�	not fished	sucker	Species	Hypentelium nigricans: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163949#null		http://www.ontariofishes.ca/fish_detail.php?FID=63		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Ictiobus bubalus	smallmouth buffalo/ buffalofish		X		X									X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Ictiobus+bubalus&searchTax=Search+Taxonomy		Ictiobus bubalus: (Rafinesque	1818)	www.catalogueoflife.org/col/details/species/id/4555613b156772667b7bbd68692acf2c	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Ictiobus bubalus: (Rafinesque	1818)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163955#null		http://www.ontariofishes.ca/fish_detail.php?FID=64		Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Ictiobus cyprinellus	bigmouth buffalo/ buffalofish		X	X	X			X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Ictiobus+cyprinellus&searchTax=Search+Taxonomy		Ictiobus cyprinellus: (Valenciennes	1844)	www.catalogueoflife.org/col/details/species/id/7ff58562be05617a7d93d9457b1c3fcf	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Ictiobus cyprinellus: (Valenciennes in Cuvier and Valenciennes	1844)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163956#null	Native to Lower Great Lakes	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=362&Potential=N&Type=0&HUCNumber=DGreatLakes		Cypriniformes	RangeExp	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Huron: Roth et al. 2012			
	Ictiobus niger	black buffalo/ buffalofish		X	X	X									X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Ictiobus+niger&searchTax=Search+Taxonomy		Ictiobus niger: (Rafinesque	1819)	www.catalogueoflife.org/col/details/species/id/96781d6b7be91ebc4256fd5851459b84	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Ictiobus niger: (Rafinesque	1819)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163957#null	Native to Lower Great Lakes	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=363&Potential=N&Type=0&HUCNumber=DGreatLakes		Cypriniformes	RangeExp	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Minytrema melanops	spotted sucker		X	X	X			X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Minytrema+melanops&searchTax=Search+Taxonomy		Minytrema melanops: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/95826e986986fe7c7b163d8288e3674e	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Minytrema melanops: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163959#null		http://www.ontariofishes.ca/fish_detail.php?FID=67		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
