Assemblage	Diversity	Observed	Estimator	s.e.	LCL	UCL
BOLD:AAA6464	Species richness	1	1	0	1	1
BOLD:AAA6464	Shannon diversity	1	1	0	1	1
BOLD:AAA6464	Simpson diversity	1	1	0	1	1
BOLD:AAA6595	Species richness	1	1	0	1	1
BOLD:AAA6595	Shannon diversity	1	1	0	1	1
BOLD:AAA6595	Simpson diversity	1	1	0	1	1
BOLD:AAA6596	Species richness	1	1	0	1	1
BOLD:AAA6596	Shannon diversity	1	1	0	1	1
BOLD:AAA6596	Simpson diversity	1	1	0	1	1
BOLD:AAA6597	Species richness	1	1	0	1	1
BOLD:AAA6597	Shannon diversity	1	1	0	1	1
BOLD:AAA6597	Simpson diversity	1	1	0	1	1
BOLD:AAA6598	Species richness	1	1	0	1	1
BOLD:AAA6598	Shannon diversity	1	1	0	1	1
BOLD:AAA6598	Simpson diversity	1	1	0	1	1
BOLD:AAA6600	Species richness	1	1	0	1	1
BOLD:AAA6600	Shannon diversity	1	1	0	1	1
BOLD:AAA6600	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA6602	Species richness	1	1	0	1	1
BOLD:AAA6602	Shannon diversity	1	1	0	1	1
BOLD:AAA6602	Simpson diversity	1	1	0	1	1
BOLD:AAA7119	Species richness	1	1	0	1	1
BOLD:AAA7119	Shannon diversity	1	1	0	1	1
BOLD:AAA7119	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA7138	Species richness	2	2	0.45604802157206853	2	2.8938376975019997
BOLD:AAA7138	Shannon diversity	1.4575692649810903	1.5669125316915526	0.36316553589079864	0.8551211609193993	2.278703902463706
BOLD:AAA7138	Simpson diversity	1.28	1.333333333333333	0.3492098926534531	0.6488945206874666	2.0177721459791993
BOLD:AAA7139	Species richness	2	2	0.47258156262526063	2	2.9262428425031706
BOLD:AAA7139	Shannon diversity	1.5691925832141966	1.7284451068967288	0.4419542511335229	0.8622306918606539	2.5946595219328037
BOLD:AAA7139	Simpson diversity	1.3846153846153844	1.4999999999999996	0.47828759001151017	0.5625735493249805	2.4374264506750185
BOLD:AAA7514	Species richness	2	2	0	2	2
BOLD:AAA7514	Shannon diversity	1.5260902731141495	1.5391043206795028	0.12362132811784277	1.2968109698475223	1.7813976715114832
BOLD:AAA7514	Simpson diversity	1.3422818791946312	1.3501144164759704	0.12395085113330521	1.1071752124016065	1.5930536205503343
BOLD:AAA7554	Species richness	1	1	0	1	1
BOLD:AAA7554	Shannon diversity	1	1	0	1	1
BOLD:AAA7554	Simpson diversity	1	1	0	1	1
BOLD:AAA7555	Species richness	1	1	0	1	1
BOLD:AAA7555	Shannon diversity	1	1	0	1	1
BOLD:AAA7555	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA7556	Species richness	1	1	0	1	1
BOLD:AAA7556	Shannon diversity	1	1	0	1	1
BOLD:AAA7556	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA7557	Species richness	1	1	0	1	1
BOLD:AAA7557	Shannon diversity	1	1	0	1	1
BOLD:AAA7557	Simpson diversity	1	1	0	1	1
BOLD:AAA7558	Species richness	1	1	0	1	1
