processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent	lat_median
DBAFI289-13	BOLD:ACF8210	Anura	-23.345	-45.136	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBAP2422-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBAP2441-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBMND61770-21	BOLD:ACF9126	Anura	-14.5099	-41.0671	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
WAF038-15	BOLD:ACY1808	Anura	6.24246	-0.5571	Ghana	Northern	7	10	5	0	7	Africa	7.756
WAMAL160-10	BOLD:AAT9134	Anura	-32.8333	115.65	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
ABR040-13	BOLD:ACJ9922	Anura	8.892	-78.562	Panama	Northern	7	10	5	0	7	Americas	7.756
ABR054-13	BOLD:AAA5632	Anura	8.901	-78.57	Panama	Northern	7	10	5	0	7	Americas	7.756
BSECO348-11	BOLD:AAT9778	Anura	7.041	-72.985	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP1847-13	BOLD:ACH2793	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP20457-19	BOLD:AAE6666	Anura	30.3766	-98.0421	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP2371-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBAP5115-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5226-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC3256-23	BOLD:AEL3912	Anura	33.2576	104.249	China	Northern	4	40	35	30	4	Asia	38.0733
GBMAB2179-15	BOLD:ACW1101	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBMIN92943-17	BOLD:ADD4511	Anura	29.919	78.126	India	Northern	5	30	25	20	5	Asia	23.8744
GBMNB2355-20	BOLD:ACF9137	Anura	-23.8496	-45.3665	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND61328-21	BOLD:ACG2163	Anura	-8.73309	-42.4955	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND682-21	BOLD:ACA3497	Anura	-20.2854	-42.9556	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND686-21	BOLD:ACA3497	Anura	-20.2854	-42.9556	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND936-21	BOLD:ABY6883	Anura	-12.7531	-47.7591	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
LIN156-06	BOLD:AAA3768	Anura	1.56675	125.166	Indonesia	Northern	7	10	5	0	7	Asia	7.756
MYARA128-17	BOLD:ADG2131	Anura	12.4039	99.1311	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
NPAMV044-08	BOLD:AAC3625	Anura	11.462	107.346	Vietnam	Northern	6	20	15	10	6	Asia	12.4342
TPZAN147-18	BOLD:AAX0674	Anura	23.9256	120.884	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAMAM697-10	BOLD:AAM2405	Anura	-14.8641	125.71	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
WAMAM756-10	BOLD:AAM1449	Anura	-34.975	117.65	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
ASCRA171-08	BOLD:AAA7514	Anura	44.506	-76.435	Canada	Northern	3	50	45	40	3	Americas	43.0306
DBABA637-12	BOLD:ACA3587	Anura	-28.49	-49.45	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBAP12413-19	BOLD:AAD9252	Anura	36.4024	127.762	South Korea	Northern	4	40	35	30	4	Asia	38.0733
GBAP2421-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBCOC2356-23	BOLD:ACH5614	Anura	35.2514	112.117	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN91879-17	BOLD:ADK3682	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNB2343-20	BOLD:ACF9137	Anura	-23.3986	-45.8659	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1131-21	BOLD:ABY6883	Anura	-6.07414	-35.178	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND1176-21	BOLD:ABY6883	Anura	-8.04026	-35.196	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
HJAPI010-14	BOLD:ACG9846	Anura	-22.903	-46.825	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
MYARA255-17	BOLD:ADG3054	Anura	20.0594	94.5942	Myanmar	Northern	5	30	25	20	5	Asia	23.8744
WAFRA027-14	BOLD:ACM4600	Anura	-3.078	10.428	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAFRA373-14	BOLD:ACM4236	Anura	-2.829	10.216	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
ABAAP086-08	BOLD:AAB9951	Anura	53.323	121.389	Russia	Northern	2	60	55	50	2	Europe	53.478
BSAMP592-08	BOLD:AAA7558	Anura	9.217	-79.422	Panama	Northern	7	10	5	0	7	Americas	7.756
BSAMP765-09	BOLD:AAA9683	Anura	7.722	-77.656	Panama	Northern	7	10	5	0	7	Americas	7.756
GBAP4042-13	BOLD:ACI1143	Anura	2.6381	-76.915	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP5431-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC15986-23	BOLD:ACC6013	Anura	-2.92841	-59.974	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBCOC3044-23	BOLD:AAB7344	Anura	33.8931	95.3097	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92767-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92843-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNA14003-19	BOLD:ACH7100	Anura	36.7674	137.469	Japan	Northern	4	40	35	30	4	Asia	38.0733
GBMNB2370-20	BOLD:ACF9137	Anura	-23.1986	-46.3496	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNC76084-20	BOLD:ACH9750	Anura	-43.1053	-73.6956	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMND1036-21	BOLD:ABY6883	Anura	-2.95897	-48.8353	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND1142-21	BOLD:ABY6883	Anura	-6.56757	-37.2855	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND895-21	BOLD:ABY6883	Anura	-11.0169	-44.5059	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND947-21	BOLD:ABY6883	Anura	-13.0126	-41.3693	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
IMSAM153-09	BOLD:AAD2552	Anura	31.8014	-8.14861	Morocco	Northern	4	40	35	30	4	Africa	38.0733
MYARA122-17	BOLD:ADG2131	Anura	12.4039	99.1311	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
WAFRA457-14	BOLD:ACM4562	Anura	-2.4922	13.7431	Republic of the Congo	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMAL248-10	BOLD:AAT9366	Anura	-29.3638	119.6	Australia	Southern	10	-20	-25	-30	10	Oceania	-23.88
GBAP11713-19	BOLD:AEH6057	Anura	4.18775	-72.6445	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP11790-19	BOLD:ACV3392	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP12097-19	BOLD:ACC6298	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
BSACU010-11	BOLD:AAU0046	Anura	21.7	-82.978	Cuba	Northern	5	30	25	20	5	Americas	23.8744
GBAP14505-19	BOLD:AEH8404	Anura	38.8208	-96.3316	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP1581-12	BOLD:ACB3572	Anura	23.5863	81.173	India	Northern	5	30	25	20	5	Asia	23.8744
GBMIN92072-17	BOLD:AAU3905	Anura	14.619	121.331	Philippines	Northern	6	20	15	10	6	Asia	12.4342
GBMND883-21	BOLD:ABY6883	Anura	-10.267	-40.1989	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
DBABA510-12	BOLD:ACA3566	Anura	-7.65	-72.657	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP20390-19	BOLD:AAE6666	Anura	29.9772	-97.8984	United States	Northern	5	30	25	20	5	Americas	23.8744
GBAP20446-19	BOLD:AAE6666	Anura	30.2837	-97.7801	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP3933-13	BOLD:ACG9732	Anura	4.68212	-58.9135	Guyana	Northern	7	10	5	0	7	Americas	7.756
GBAP5235-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC15117-23	BOLD:AAB7344	Anura	28.4103	99.2964	China	Northern	5	30	25	20	5	Asia	23.8744
GBCOC2340-23	BOLD:ADC9938	Anura	35.6288	113.607	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92950-17	BOLD:ADJ5861	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMNB2368-20	BOLD:ACF9137	Anura	-23.1986	-46.3496	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNB2388-20	BOLD:AEF4984	Anura	-22.9421	-43.893	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNC75926-20	BOLD:AEG6427	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND61324-21	BOLD:ACG2163	Anura	-13.0547	-41.074	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
IQHLM183-06	BOLD:AAA8333	Anura	1.3667	128.3	Indonesia	Northern	7	10	5	0	7	Asia	7.756
VTCOL097-18	BOLD:AAB9718	Anura	42.8938	-80.1834	Canada	Northern	3	50	45	40	3	Americas	43.0306
WAFRA181-14	BOLD:ACM4028	Anura	-3.091	10.439	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMAL518-10	BOLD:AAT9366	Anura	-29.6	117.4	Australia	Southern	10	-20	-25	-30	10	Oceania	-23.88
BSAMP915-09	BOLD:AAA6462	Anura	7.756	-77.684	Panama	Northern	7	10	5	0	7	Americas	7.756
DBABA553-12	BOLD:ACA3470	Anura	-24.026	-46.281	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
DBABA687-12	BOLD:ACA3812	Anura	-23.579	-45.274	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBAAW83578-24	BOLD:AAE9581	Anura	2.99	-76.4	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP12327-19	BOLD:ACA4344	Anura	-8.52272	-74.1142	Peru	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP14561-19	BOLD:AEH6381	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP20488-19	BOLD:AAE6666	Anura	30.2542	-97.9392	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP4944-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC17573-23	BOLD:AFT7058	Anura	24.83	92.804	India	Northern	5	30	25	20	5	Asia	23.8744
GBMIN91921-17	BOLD:ADF8776	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92071-17	BOLD:AAU3905	Anura	14.652	121.455	Philippines	Northern	6	20	15	10	6	Asia	12.4342
GBMIN92288-17	BOLD:ADJ9833	Anura	-13.255	-71.52	Peru	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMNC75978-20	BOLD:ACH9750	Anura	-35.9928	-72.5258	Chile	Southern	11	-30	-35	-40	11	Americas	-33.6166
GBMNC76493-20	BOLD:AAD5289	Anura	26.9	107.66	China	Northern	5	30	25	20	5	Asia	23.8744
GBMND61320-21	BOLD:ACG2163	Anura	-16.9601	-42.0452	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND61751-21	BOLD:ACF9126	Anura	-7.23975	-41.9318	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND831-21	BOLD:ACA3750	Anura	-28.153	-54.761	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
IMSAM416-09	BOLD:AAA3242	Anura	36.413	4.09251	Algeria	Northern	4	40	35	30	4	Africa	38.0733
NPAMV028-08	BOLD:AAB9479	Anura	11.424	107.419	Vietnam	Northern	6	20	15	10	6	Asia	12.4342
RNOCF397-17	BOLD:ADH8938	Anura	-21.264	47.4183	Madagascar	Southern	10	-20	-25	-30	10	Africa	-23.88
TPZAN187-18	BOLD:ADL3947	Anura	35.3257	136.042	Japan	Northern	4	40	35	30	4	Asia	38.0733
WAFRA023-14	BOLD:AAH0940	Anura	-3.088	10.428	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
ABR041-13	BOLD:AAA5634	Anura	8.892	-78.561	Panama	Northern	7	10	5	0	7	Americas	7.756
AMPAS048-05	BOLD:AAA3971	Anura	42.8758	-78.9984	Canada	Northern	3	50	45	40	3	Americas	43.0306
BSAMP079-07	BOLD:AAB3745	Anura	8.667	-80.592	Panama	Northern	7	10	5	0	7	Americas	7.756
GBAP11705-19	BOLD:AEH6458	Anura	1.72668	-75.6683	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP14571-19	BOLD:AEH3833	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP1848-13	BOLD:ACH2619	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP20458-19	BOLD:AAE6666	Anura	30.3766	-98.0421	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP2409-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBAP3301-13	BOLD:ACI0809	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP3649-13	BOLD:ACC5868	Anura	-0.0315	-76.3211	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP4067-13	BOLD:ACI1145	Anura	3.4289	-76.6592	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP4921-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP4991-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5094-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMND1008-21	BOLD:ABY6883	Anura	-17.1745	-46.9118	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND1022-21	BOLD:ABY6883	Anura	-18.9881	-56.6191	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND1076-21	BOLD:ABY6883	Anura	-24.921	-57.667	Paraguay	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND766-21	BOLD:ACA3747	Anura	-21.8361	-46.5315	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND779-21	BOLD:ACA3747	Anura	-23.281	-46.208	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND786-21	BOLD:ACA3747	Anura	-23.832	-47.713	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND806-21	BOLD:ACA3750	Anura	-27.0877	-54.9522	Argentina	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND842-21	BOLD:ACA3750	Anura	-29.4666	-60.2333	Argentina	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNE66373-22	BOLD:AAM2274	Anura	-14.82	125.72	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
GBMNE66391-22	BOLD:AAM5238	Anura	-15.63	128.67	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
IQHLM223-06	BOLD:AAX5325	Anura	0.8072	127.682	Indonesia	Northern	7	10	5	0	7	Asia	7.756
LIN173-06	BOLD:AAA6596	Anura	-1.44883	119.995	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
MJNV069-24	BOLD:AAI7867	Anura	5.54044	-74.5125	Colombia	Northern	7	10	5	0	7	Americas	7.756
WAFRA289-14	BOLD:ACM4516	Anura	1.0769	17.2997	Republic of the Congo	Northern	7	10	5	0	7	Africa	7.756
BSAMP641-08	BOLD:AAB5895	Anura	9.228	-79.419	Panama	Northern	7	10	5	0	7	Americas	7.756
DBABA445-12	BOLD:ACA3636	Anura	-25.137	-47.969	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
EANAA253-12	BOLD:ACA1651	Anura	38.028	-122.788	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP12368-19	BOLD:ACC6241	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP20189-19	BOLD:AEB0172	Anura	8.678	-82.21	Panama	Northern	7	10	5	0	7	Americas	7.756
GBAP3658-13	BOLD:ACH9717	Anura	-1.6285	-77.9072	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBCOC19015-23	BOLD:AFS2243	Anura	-3.06211	-60.75	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBCOC3177-23	BOLD:ACB3869	Anura	34.0827	102.626	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN91942-17	BOLD:ACT2222	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92100-17	BOLD:ADP2419	Anura	31.2	-89.22	United States	Northern	4	40	35	30	4	Americas	38.0733
GBMNB2307-20	BOLD:AED5708	Anura	-24.0986	-45.6941	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNC75396-20	BOLD:ACC5943	Anura	5.90125	-61.4414	Venezuela	Northern	7	10	5	0	7	Americas	7.756
GBMNC75497-20	BOLD:AAD9252	Anura	36.4024	127.762	South Korea	Northern	4	40	35	30	4	Asia	38.0733
GBMNC76489-20	BOLD:AAD5289	Anura	26.19	108.13	China	Northern	5	30	25	20	5	Asia	23.8744
GBMND1214-21	BOLD:ACA3748	Anura	-24.562	-48.6705	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1229-21	BOLD:ACA3748	Anura	-27.8991	-48.9114	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1283-21	BOLD:ACA4464	Anura	-16.909	-42.064	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND585-21	BOLD:AEH3623	Anura	-9.41442	-64.4296	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND586-21	BOLD:AEH6398	Anura	-4.33333	-58.1333	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND669-21	BOLD:ACA3497	Anura	-17.345	-39.231	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND761-21	BOLD:ACA3747	Anura	-20.2538	-47.4549	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND793-21	BOLD:ACA3747	Anura	-25.2527	-50.0142	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
AMPAS099-05	BOLD:AAA3971	Anura	43.4541	-80.2435	Canada	Northern	3	50	45	40	3	Americas	43.0306
GBAP11896-19	BOLD:ACV3392	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP12358-19	BOLD:ACC6241	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP5237-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5453-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC19234-23	BOLD:AFT8401	Anura	24.932	92.746	India	Northern	5	30	25	20	5	Asia	23.8744
GBCOC3042-23	BOLD:AEL3912	Anura	35.1155	101.465	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN91923-17	BOLD:ADJ8163	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNB2280-20	BOLD:AED2150	Anura	-23.5569	-46.0998	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNC75331-20	BOLD:ACF3174	Anura	4.68212	-58.9135	Guyana	Northern	7	10	5	0	7	Americas	7.756
GBMND1002-21	BOLD:ABY6883	Anura	-16.436	-39.9944	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND1092-21	BOLD:ABY6883	Anura	-28.5352	-57.1814	Argentina	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1280-21	BOLD:ACA4464	Anura	-14.4373	-39.9073	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND61757-21	BOLD:ACF9126	Anura	-4.11233	-41.6976	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND61765-21	BOLD:ACF9126	Anura	-6.57865	-37.2557	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMNE66404-22	BOLD:AAM1938	Anura	-15.35	124.53	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
TPZAN160-18	BOLD:AAE4079	Anura	24.0697	120.75	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAMAM934-10	BOLD:AAM1794	Anura	-34.7333	117.633	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
BSACU100-11	BOLD:AAT9115	Anura	20.359	-75.163	Cuba	Northern	5	30	25	20	5	Americas	23.8744
BSECO095-11	BOLD:ABA0385	Anura	4.773	-73.038	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP1841-13	BOLD:ACH2982	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP4376-13	BOLD:ACI1285	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP5419-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMND1057-21	BOLD:ABY6883	Anura	-22.5353	-59.8365	Paraguay	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND61322-21	BOLD:ACG2163	Anura	-14.5099	-41.0671	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP1882-13	BOLD:ACH3659	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP864-09	BOLD:AAA5395	Anura	0.8806	128.283	Indonesia	Northern	7	10	5	0	7	Asia	7.756
GBCOC2371-23	BOLD:ADC9938	Anura	35.6288	113.607	China	Northern	4	40	35	30	4	Asia	38.0733
GBMND1044-21	BOLD:ABY6883	Anura	-20.4508	-55.6219	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1261-21	BOLD:ACA4464	Anura	-12.5525	-41.3828	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND41270-21	BOLD:ACH2989	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
HERNO011-18	BOLD:AAC2139	Anura	59.9125	10.9348	Norway	Northern	2	60	55	50	2	Europe	53.478
BSECO270-11	BOLD:ABU5671	Anura	5.294	-72.706	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBMNC75515-20	BOLD:AAD9252	Anura	36.4024	127.762	South Korea	Northern	4	40	35	30	4	Asia	38.0733
GBMNF3560-22	BOLD:ADB2478	Anura	-13.1948	-70.1324	Peru	Southern	9	-10	-15	-20	9	Americas	-15.5944
WAMAM764-10	BOLD:AAM1449	Anura	-34.6416	117.967	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
DBABA334-12	BOLD:ACA3820	Anura	-23.369	-44.833	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
DBAFI259-13	BOLD:ACJ0456	Anura	-22.69	-45.474	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBCOC13879-23	BOLD:AFS7569	Anura	19.13	103.78	Laos	Northern	6	20	15	10	6	Asia	12.4342
GBMIN92698-17	BOLD:ACA3404	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMIN93295-17	BOLD:ACA5640	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMNA13974-19	BOLD:AAF5022	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNC75904-20	BOLD:AEG1331	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMNC75987-20	BOLD:ACH9750	Anura	-37.7886	-72.9922	Chile	Southern	11	-30	-35	-40	11	Americas	-33.6166
GBMNC76014-20	BOLD:ACH9750	Anura	-40.1403	-73.4178	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMND1001-21	BOLD:ABY6883	Anura	-16.436	-39.9944	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND1233-21	BOLD:ACA3748	Anura	-28.3986	-49.5043	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND1258-21	BOLD:ACA4464	Anura	-12.282	-38.992	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND61338-21	BOLD:ACG2163	Anura	-15.1867	-41.9609	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMND822-21	BOLD:ACA3750	Anura	-27.6333	-56.1416	Argentina	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMND890-21	BOLD:ABY6883	Anura	-10.9858	-48.5606	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
MYARA052-17	BOLD:ADG3321	Anura	12.4344	99.1442	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
MYARA260-17	BOLD:ADG3667	Anura	17.0403	96.0975	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
WAFRA131-14	BOLD:ACM4023	Anura	-3.076	10.425	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMID119-10	BOLD:AAI1316	Anura	-8.8	117.367	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
GBCOC3190-23	BOLD:ACB3869	Anura	35.1359	103.142	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNC76088-20	BOLD:ACH9750	Anura	-42.1039	-73.87	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBAP11714-19	BOLD:AEH8211	Anura	4.68212	-58.9135	Guyana	Northern	7	10	5	0	7	Americas	7.756
GBAP12534-19	BOLD:ACI0945	Anura	-38.3773	-73.89	Chile	Southern	11	-30	-35	-40	11	Americas	-33.6166
FBHER183-10	BOLD:AAM0090	Anura	47.854	12.924	Germany	Northern	3	50	45	40	3	Europe	43.0306
GBAP20399-19	BOLD:ADV5802	Anura	32.5332	-96.488	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP5592-15	BOLD:ACV8176	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
