processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent	lat_median
GBAP5599-15	BOLD:ACV8247	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBMIN92264-17	BOLD:ACC6392	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBMIN93310-17	BOLD:ACX1692	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND1199-21	BOLD:ABY6883	Anura	-9.82027	-37.7225	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
IQHLM213-06	BOLD:AAC2373	Anura	0.7319	127.553	Indonesia	Northern	7	10	5	0	7	Asia	7.756
MYARA292-17	BOLD:ADG3667	Anura	17.7478	96.2336	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
TPZAN146-18	BOLD:AAX0674	Anura	23.9256	120.884	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAMAL690-10	BOLD:AAT9369	Anura	-30.8166	119.517	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
BSACU023-11	BOLD:AAT9115	Anura	22.072	-81.036	Cuba	Northern	5	30	25	20	5	Americas	23.8744
BSAMP767-09	BOLD:AAA9683	Anura	7.722	-77.656	Panama	Northern	7	10	5	0	7	Americas	7.756
BSAMP912-09	BOLD:AAA6462	Anura	7.756	-77.684	Panama	Northern	7	10	5	0	7	Americas	7.756
BSAMP980-09	BOLD:AAB2167	Anura	7.762	-77.724	Panama	Northern	7	10	5	0	7	Americas	7.756
BSATE073-10	BOLD:AAT9612	Anura	4.802	-76.193	Colombia	Northern	7	10	5	0	7	Americas	7.756
DBNGF003-10	BOLD:AAZ3766	Anura	-5.13	145.77	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
FCWS008-21	BOLD:AAT9575	Anura	-0.152	100.662	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
GBAP12430-19	BOLD:AAD9252	Anura	36.4024	127.762	South Korea	Northern	4	40	35	30	4	Asia	38.0733
GBAP1832-13	BOLD:ACH2985	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP20419-19	BOLD:AAE6666	Anura	29.9955	-98.2163	United States	Northern	5	30	25	20	5	Americas	23.8744
GBCOC2333-23	BOLD:ACH5614	Anura	35.2514	112.117	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC2388-23	BOLD:ADC9938	Anura	38.73	114.066	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC3194-23	BOLD:ACB3869	Anura	35.4874	104.01	China	Northern	4	40	35	30	4	Asia	38.0733
GBCOC3235-23	BOLD:AAB7344	Anura	32.5138	96.6487	China	Northern	4	40	35	30	4	Asia	38.0733
GBMIN92825-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNC76086-20	BOLD:ACH9750	Anura	-43.1053	-73.6956	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMNC76089-20	BOLD:ACH9750	Anura	-42.1039	-73.87	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMND609-21	BOLD:AEH8079	Anura	-7.1037	-48.1978	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND61736-21	BOLD:ACF9126	Anura	-7.33117	-47.4467	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMNE66409-22	BOLD:AAM1938	Anura	-16.72	125.46	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
GBMNE66455-22	BOLD:AAM2707	Anura	-15.73	128.28	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
IQHLM239-06	BOLD:AAX5240	Anura	7.022	125.05	Philippines	Northern	7	10	5	0	7	Asia	7.756
LDPJR048-17	BOLD:ADJ3171	Anura	-26.9017	32.2372	South Africa	Southern	10	-20	-25	-30	10	Africa	-23.88
LIN453-07	BOLD:AAA9705	Anura	-18.97	22.57	Botswana	Southern	9	-10	-15	-20	9	Africa	-15.5944
MLANF036-13	BOLD:ACJ4560	Anura	-35.232	-57.318600000000004	Argentina	Southern	11	-30	-35	-40	11	Americas	-33.6166
MYARB412-18	BOLD:ACW1253	Anura	10.9586	98.947	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
QUANH001-18	BOLD:ADO7711	Anura	38.5058	-77.4444	United States	Northern	4	40	35	30	4	Americas	38.0733
TPZAN113-18	BOLD:ADL3064	Anura	23.9256	120.884	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
TPZAN120-18	BOLD:ACH7173	Anura	25.0749	121.915	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAFRA008-14	BOLD:ACM3966	Anura	-3.089	10.44	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAFRA430-14	BOLD:ACM4448	Anura	-2.7898	13.5344	Republic of the Congo	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMAL334-10	BOLD:AAT9369	Anura	-31.5166	117.733	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMAL533-10	BOLD:AAT9131	Anura	-34.3	115.179	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMID143-10	BOLD:AAI1316	Anura	-8.55	122.65	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
AMPSA011-12	BOLD:ABX1896	Anura	-12.1386	25.1863	Zambia	Southern	9	-10	-15	-20	9	Africa	-15.5944
BSAMP1169-09	BOLD:AAB9732	Anura	9.265	-79.508	Panama	Northern	7	10	5	0	7	Americas	7.756
DBNGF143-10	BOLD:AAZ3791	Anura	-5.78617	145.059	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
DBNGF271-10	BOLD:AAZ3867	Anura	-5.7425	145.334	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
FBHER218-14	BOLD:ACM1278	Anura	47.926	10.242	Germany	Northern	3	50	45	40	3	Europe	43.0306
GBAP12359-19	BOLD:ADK3213	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP1900-13	BOLD:ACH3357	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP3999-13	BOLD:ACI2591	Anura	3.5744	-76.5967	Colombia	Northern	7	10	5	0	7	Americas	7.756
GBAP5582-15	BOLD:ACH2782	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBMNA18601-19	BOLD:ACH4980	Anura	39.6984	73.3272	Kyrgyzstan	Northern	4	40	35	30	4	Asia	38.0733
GBMND1037-21	BOLD:ABY6883	Anura	-20.3845	-51.3837	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
IQHLM078-06	BOLD:AAA5395	Anura	0.3233	127.799	Indonesia	Northern	7	10	5	0	7	Asia	7.756
JBJF128-09	BOLD:ACF1106	Anura	30.53	102.93	China	Northern	4	40	35	30	4	Asia	38.0733
JBJF180-09	BOLD:AAD6902	Anura	28.899	102.833	China	Northern	5	30	25	20	5	Asia	23.8744
LIN168-06	BOLD:AAA3769	Anura	0.55081	123.176	Indonesia	Northern	7	10	5	0	7	Asia	7.756
MLANF089-13	BOLD:ACJ4560	Anura	-36.6173	-57.2478	Argentina	Southern	11	-30	-35	-40	11	Americas	-33.6166
MYARB562-18	BOLD:ACW1253	Anura	11.4519	99.2259	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
OSTEO002-14	BOLD:ACM7545	Anura	-4.597	-58.221	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
WAFRA125-14	BOLD:ACM4178	Anura	-3.107	10.455	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMAL149-10	BOLD:AAT9134	Anura	-30.2833	116.667	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMAL278-10	BOLD:AAT9366	Anura	-24.8166	113.767	Australia	Southern	10	-20	-25	-30	10	Oceania	-23.88
WAMAL739-10	BOLD:AAT9132	Anura	-33.5683	120.32	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
ABR1056-13	BOLD:AAB1184	Anura	8.479	-77.528	Panama	Northern	7	10	5	0	7	Americas	7.756
ABR783-13	BOLD:AAD4675	Anura	9.26	-79.935	Panama	Northern	7	10	5	0	7	Americas	7.756
BSAMP596-08	BOLD:AAB8266	Anura	9.228	-79.419	Panama	Northern	7	10	5	0	7	Americas	7.756
BSECO065-11	BOLD:ABA1350	Anura	4.773	-73.037	Colombia	Northern	7	10	5	0	7	Americas	7.756
DBABA330-12	BOLD:ACA3741	Anura	-23.345	-45.136	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
DBAFI774-13	BOLD:ACZ0569	Anura	-9.663	-56.054	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
DBAFI780-13	BOLD:ACA5316	Anura	-11.866	-55.461	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
DBNGF369-10	BOLD:AAZ4257	Anura	-5.73131	145.275	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
GANA737-06	BOLD:AAC7230	Anura	44.643	-78.527	Canada	Northern	3	50	45	40	3	Americas	43.0306
GBAP11859-19	BOLD:ACB7937	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP12326-19	BOLD:ACA4344	Anura	-8.52272	-74.1142	Peru	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP20396-19	BOLD:AAE6666	Anura	29.9772	-97.8984	United States	Northern	5	30	25	20	5	Americas	23.8744
GBAP5410-15	BOLD:ACB3504	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBAP5580-15	BOLD:ACH2782	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBCOC3196-23	BOLD:AAH9725	Anura	30.0671	100.117	China	Northern	4	40	35	30	4	Asia	38.0733
GBMND581-21	BOLD:AEH3623	Anura	-9.41442	-64.4296	Brazil	Southern	8	0	-5	-10	8	Americas	-5.04883
GBMND905-21	BOLD:ABY6883	Anura	-11.6635	-37.4821	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
