processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent
GBAAW71174-24	BOLD:AGE7671	Anura	5.13	-75.49	Colombia	Northern	7	10	5	0	7	Americas
GBAP20318-19	BOLD:AEB0951	Anura	9.865	-84.143	Costa Rica	Northern	7	10	5	0	7	Americas
GBAP2365-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBAP3262-13	BOLD:ACI1005	Anura	44.9119	16.6258	Croatia	Northern	3	50	45	40	3	Europe
GBAP4511-13	BOLD:ACI2394	Anura	20.3912	-75.3069	Cuba	Northern	5	30	25	20	5	Americas
GBAP5089-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBAP885-09	BOLD:AAB8888	Anura	0.9416	128.267	Indonesia	Northern	7	10	5	0	7	Asia
GBMAB818-15	BOLD:ACW1254	Anura	-7.15691	144.835	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania
GBMIN92276-17	BOLD:ADK2556	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBMIN93400-17	BOLD:ACC4058	Anura	-8.52272	-74.1142	Peru	Southern	8	0	-5	-10	8	Americas
GBMNA13936-19	BOLD:ACE7889	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBMNC75935-20	BOLD:AEG5337	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMNC76065-20	BOLD:ACH9750	Anura	-42.7183	-73.9414	Chile	Southern	12	-40	-45	-50	12	Americas
GBMND1255-21	BOLD:ACA3749	Anura	-12.1149	-39.0426	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND61723-21	BOLD:ACF9126	Anura	-16.5578	-42.894	Brazil	Southern	9	-10	-15	-20	9	Americas
GBMND61777-21	BOLD:ACF9126	Anura	-8.73309	-42.4955	Brazil	Southern	8	0	-5	-10	8	Americas
IMSAM100-09	BOLD:AAA3241	Anura	34.3892	8.77083	Tunisia	Northern	4	40	35	30	4	Africa
IMSAM204-09	BOLD:AAB5948	Anura	39.9035	-3.64704	Spain	Northern	4	40	35	30	4	Europe
IMSAM578-12	BOLD:AAE7180	Anura	41.3262	-6.49197	Portugal	Northern	3	50	45	40	3	Europe
JBJF155-09	BOLD:AAC9208	Anura	30.04	100.99	China	Northern	4	40	35	30	4	Asia
LDPJR002-17	BOLD:ADJ4688	Anura	-28.4012	32.3195	South Africa	Southern	10	-20	-25	-30	10	Africa
MYARA086-17	BOLD:ACT3129	Anura	12.4039	99.1311	Myanmar	Northern	6	20	15	10	6	Asia
NPAMV468-10	BOLD:AAU1574	Anura	13.668	104.018	Cambodia	Northern	6	20	15	10	6	Asia
RAACG453-19	BOLD:ACB8096	Anura	10.8806	-85.389	Costa Rica	Northern	6	20	15	10	6	Americas
RNOCF375-17	BOLD:ADI0918	Anura	-21.255	47.4178	Madagascar	Southern	10	-20	-25	-30	10	Africa
WAF011-15	BOLD:ACX9570	Anura	6.24246	-0.5571	Ghana	Northern	7	10	5	0	7	Africa
WAFRA385-14	BOLD:ACM4028	Anura	0.603	9.337	Gabon	Northern	7	10	5	0	7	Africa
WAMAL670-10	BOLD:AAT9366	Anura	-24.8836	113.639	Australia	Southern	10	-20	-25	-30	10	Oceania
WAMAL693-10	BOLD:AAT9673	Anura	-31.2383	116.27	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMAL703-10	BOLD:AAT9673	Anura	-31.3252	116.314	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMAM263-10	BOLD:AAM1938	Anura	-15.39	124.593	Australia	Southern	9	-10	-15	-20	9	Oceania
WAMAM335-10	BOLD:AAM1449	Anura	-33.7663	115.876	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMAM648-10	BOLD:AAM1490	Anura	-30.223	115.4	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMAM780-10	BOLD:AAM1449	Anura	-33.4833	115.642	Australia	Southern	11	-30	-35	-40	11	Oceania
WAMID068-10	BOLD:AAT9082	Anura	-10.25	123.717	Indonesia	Southern	9	-10	-15	-20	9	Asia
AMPSA063-12	BOLD:ABX2341	Anura	-13.1628	27.7552	Zambia	Southern	9	-10	-15	-20	9	Africa
